d		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_noname	Rhodobacteraceae_noname	0	0	0	0	0	0	0	0	730.0	730.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Pusillimonas	Pusillimonas	0	0	0	0	0	0	1241.0	0	0	0	1241.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	Thiomonas	0	0	0	0	0	0	0	1252.0	0	1252.0	2504.0	1252.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	Comamonas	0	0	0	0	0	0	0	0	0	899.0	1798.0	0	899.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans	Limnohabitans	0	0	0	0	0	0	0	0	0	679.0	1641.0	491.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	Polaromonas	0	0	0	0	0	0	0	0	0	1462.0	5527.0	885.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax	Variovorax	0	0	0	0	0	0	0	0	0	450.0	1319.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Hydrogenophilaceae_unclassified	Hydrogenophilaceae_unclassified	0	0	0	0	0	0	0	0	0	2528.0	4801.0	312.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus	Thiobacillus	0	0	0	0	0	0	0	0	0	216.0	576.0	216.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	Kingella	176.0	0	0	0	0	347.0	0	187.0	0	0	321.0	0	291.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	Neisseria	0	0	0	0	580.0	1152.0	390.0	2318.0	0	402.0	570.0	0	375.0	0	390.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera	Thauera	0	0	0	0	0	0	0	0	0	3102.0	3105.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter	Marinobacter	0	0	0	0	0	0	0	0	1444.0	10866.0	13465.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Spiribacter	Spiribacter	0	0	0	0	0	0	0	0	0	578.0	578.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	Escherichia	4871219.0	5464541.0	8267.0	48331.0	12389.0	25437.0	31009.0	121462.0	1908.0	1272.0	4452.0	0	636.0	0	636.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	Pantoea	98026.0	142955.0	0	0	1361.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia	Yersinia	7818.0	11610.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	Halomonas	0	0	0	0	1968.0	1968.0	5905.0	0	0	5905.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus	Actinobacillus	0	0	24195.0	0	0	0	0	2007.0	0	374.0	1830.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	Acinetobacter	539.0	0	0	0	0	0	0	0	1023.0	0	1715.0	0	1709.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter	Psychrobacter	251.0	0	0	0	0	0	0	0	839.0	406.0	2046.0	0	1282.0	0	167.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	Pseudomonas	0	0	0	0	0	0	0	0	0	11881.0	26732.0	2970.0	2970.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium	Photobacterium	1304.0	1304.0	4345219.0	13926.0	3089.0	9449.0	19856.0	57838.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter	Rhodanobacter	0	0	0	0	0	264.0	0	0	0	423.0	2068.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	Stenotrophomonas	0	1715.0	0	0	0	0	0	0	0	0	0	0	2898.0	325.0	0	110.0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	Thermodesulfobacterium	0	0	0	0	1109.0	111.0	0	0	0	0	0	0	222.0	222.0	0	0
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria	Eimeria	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus	Gammaretrovirus	2.0	0	0	30.0	0	18.0	9.0	30.0	9.0	16.0	5.0	11.0	18.0	9.0	18.0	32.0

s		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	Granulicella_unclassified	0	0	0	0	0	0	740.0	0	0	0	740.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_unclassified	Actinobaculum_unclassified	0	0	0	0	2311.0	0	787.0	3744.0	0	3744.0	3034.0	0	0	14586.0	5298.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_unclassified	Mobiluncus_unclassified	0	0	0	0	236.0	0	79.0	158.0	81.0	80.0	80.0	0	0	82.0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	Brevibacterium_unclassified	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified	Leifsonia_unclassified	0	0	0	0	0	0	0	0	0	0	1150.0	0	544.0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_unclassified	Dysgonomonas_unclassified	0	0	0	0	2242.0	129.0	301.0	436.0	907.0	1336.0	1731.0	0	253.0	3406.0	206.0	127.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	Parabacteroides_unclassified	0	0	0	0	3759.0	409.0	3292.0	2686.0	630.0	3919.0	3923.0	633.0	217.0	2552.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	213.0	0	0	21.0	1597.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga|s__Cellulophaga_unclassified	Cellulophaga_unclassified	0	0	0	0	1995.0	0	0	0	0	997.0	997.0	0	997.0	1995.0	997.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia|s__Gillisia_unclassified	Gillisia_unclassified	0	0	0	0	224.0	0	0	0	463.0	1616.0	0	0	937.0	0	1457.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_unclassified	Myroides_unclassified	0	0	0	0	0	0	185.0	0	0	0	1388.0	0	797.0	0	453.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified	Riemerella_unclassified	0	0	0	0	0	0	0	0	821.0	422.0	2240.0	0	0	821.0	2111.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified	Pedobacter_unclassified	0	0	0	0	0	0	0	1133.0	1077.0	0	2232.0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_unclassified	Sphingobacterium_unclassified	0	0	0	0	676.0	0	1017.0	0	0	0	339.0	0	347.0	1014.0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified	Deinococcus_unclassified	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_unclassified	Planococcus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	274.0	0	667.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	Enterococcus_faecalis	214.0	53303.0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	Clostridium_perfringens	1625.0	0	129309.0	66.0	0	0	0	912.0	0	0	0	913.0	2111.0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	Peptostreptococcaceae_noname_unclassified	1315.0	0	48061.0	0	9203.0	1315.0	0	1315.0	0	0	2629.0	2629.0	2629.0	11832.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	Anaerotruncus_unclassified	0	0	0	0	0	0	0	0	0	0	1181.0	624.0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	Subdoligranulum_unclassified	0	0	0	0	0	0	373.0	373.0	0	0	0	0	0	373.0	1866.0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified	Megasphaera_unclassified	0	0	0	0	1450.0	0	725.0	725.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified	Mitsuokella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	503.0	503.0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_unclassified	Bartonella_unclassified	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_unclassified	Paracoccus_unclassified	0	0	0	0	0	0	0	0	0	153.0	1043.0	0	0	0	147.0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_noname|s__Rhodobacteraceae_noname_unclassified	Rhodobacteraceae_noname_unclassified	0	0	0	0	0	0	0	0	730.0	730.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Pusillimonas|s__Pusillimonas_unclassified	Pusillimonas_unclassified	0	0	0	0	0	0	1241.0	0	0	0	1241.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	Thiomonas_unclassified	0	0	0	0	0	0	0	1252.0	0	1252.0	2504.0	1252.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified	Comamonas_unclassified	0	0	0	0	0	0	0	0	0	899.0	1798.0	0	899.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans|s__Limnohabitans_unclassified	Limnohabitans_unclassified	0	0	0	0	0	0	0	0	0	679.0	1641.0	491.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_unclassified	Polaromonas_unclassified	0	0	0	0	0	0	0	0	0	1462.0	5527.0	885.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_unclassified	Variovorax_unclassified	0	0	0	0	0	0	0	0	0	450.0	1319.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus|s__Thiobacillus_denitrificans	Thiobacillus_denitrificans	0	0	0	0	0	0	0	0	0	218.0	433.0	218.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_unclassified	Kingella_unclassified	176.0	0	0	0	0	347.0	0	187.0	0	0	321.0	0	291.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified	Neisseria_unclassified	0	0	0	0	580.0	1152.0	390.0	2318.0	0	402.0	570.0	0	375.0	0	390.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_terpenica	Thauera_terpenica	0	0	0	0	0	0	0	0	0	116.0	78.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_unclassified	Thauera_unclassified	0	0	0	0	0	0	0	0	0	2961.0	3011.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_unclassified	Marinobacter_unclassified	0	0	0	0	0	0	0	0	1444.0	10866.0	13465.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Spiribacter|s__Spiribacter_unclassified	Spiribacter_unclassified	0	0	0	0	0	0	0	0	0	578.0	578.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	Escherichia_coli	4327030.0	4823358.0	4543.0	31669.0	13432.0	23597.0	33620.0	121074.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	Escherichia_unclassified	880241.0	1015782.0	4076.0	19121.0	0	3673.0	0	9791.0	1908.0	1272.0	4452.0	0	636.0	0	636.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified	Pantoea_unclassified	98026.0	142955.0	0	0	1361.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia|s__Yersinia_unclassified	Yersinia_unclassified	7818.0	11610.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_unclassified	Halomonas_unclassified	0	0	0	0	1968.0	1968.0	5905.0	0	0	5905.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified	Actinobacillus_unclassified	0	0	24195.0	0	0	0	0	2007.0	0	374.0	1830.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_unclassified	Acinetobacter_unclassified	539.0	0	0	0	0	0	0	0	1023.0	0	1715.0	0	1709.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_arcticus	Psychrobacter_arcticus	0	0	0	0	0	0	0	0	40.0	0	276.0	0	99.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_cryohalolentis	Psychrobacter_cryohalolentis	247.0	0	0	0	0	0	0	0	779.0	399.0	1484.0	0	1146.0	0	164.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	Pseudomonas_unclassified	0	0	0	0	0	0	0	0	0	11881.0	24533.0	2970.0	2970.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_damselae	Photobacterium_damselae	576.0	0	2573475.0	8248.0	1829.0	5596.0	7229.0	34255.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_unclassified	Photobacterium_unclassified	331.0	1304.0	0	0	0	0	7650.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter|s__Rhodanobacter_unclassified	Rhodanobacter_unclassified	0	0	0	0	0	264.0	0	0	0	423.0	2068.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia	Stenotrophomonas_maltophilia	0	1348.0	0	0	0	0	0	0	0	0	0	0	2766.0	310.0	0	105.0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_unclassified	Thermodesulfobacterium_unclassified	0	0	0	0	1109.0	111.0	0	0	0	0	0	0	222.0	222.0	0	0
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_tenella	Eimeria_tenella	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus	Murine_osteosarcoma_virus	1.0	0	0	16.0	0	10.0	5.0	16.0	5.0	8.0	2.0	6.0	10.0	5.0	10.0	17.0

t		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica|t__Porphyromonas_asaccharolytica_unclassified	Porphyromonas_asaccharolytica_unclassified	0	0	0	0	0	0	0	0	0	0	0	213.0	0	0	21.0	1597.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified	Enterococcus_faecalis_unclassified	214.0	53303.0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__Clostridium_perfringens_unclassified	Clostridium_perfringens_unclassified	1625.0	0	129309.0	66.0	0	0	0	912.0	0	0	0	913.0	2111.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus|s__Thiobacillus_denitrificans|t__Thiobacillus_denitrificans_unclassified	Thiobacillus_denitrificans_unclassified	0	0	0	0	0	0	0	0	0	218.0	433.0	218.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_terpenica|t__GCF_000443165	GCF_000443165	0	0	0	0	0	0	0	0	0	116.0	78.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	Escherichia_coli_unclassified	4327030.0	4823358.0	4543.0	31669.0	13432.0	23597.0	33620.0	121074.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_arcticus|t__GCF_000012305	GCF_000012305	0	0	0	0	0	0	0	0	40.0	0	276.0	0	99.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_cryohalolentis|t__GCF_000013905	GCF_000013905	247.0	0	0	0	0	0	0	0	779.0	399.0	1484.0	0	1146.0	0	164.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_damselae|t__GCF_000176795	GCF_000176795	576.0	0	2573475.0	8248.0	1829.0	5596.0	7229.0	34255.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__Stenotrophomonas_maltophilia_unclassified	Stenotrophomonas_maltophilia_unclassified	0	1348.0	0	0	0	0	0	0	0	0	0	0	2766.0	310.0	0	105.0
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_tenella|t__GCA_000002835	GCA_000002835	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus|t__PRJNA14655	PRJNA14655	1.0	0	0	16.0	0	10.0	5.0	16.0	5.0	8.0	2.0	6.0	10.0	5.0	10.0	17.0

